temp1,smoke1,soil,flame1,temp2,smoke2,flame2,humidity,label
55.6,1110,3858,1,59.7,932,1,21.5,PROBABLE_FIRE
57.9,1258,3804,0,59.9,958,1,11.7,CONFIRMED_FIRE
45.3,518,3613,1,45.9,462,1,23.9,HIGH_RISK
47.5,929,3712,1,49.6,628,0,22.5,PROBABLE_FIRE
47.8,1540,3900,0,49.6,1102,0,10.3,CONFIRMED_FIRE
30.5,535,2208,1,28.9,329,1,58.7,SAFE
35.3,557,3989,1,38.3,468,1,18.5,HIGH_RISK
39.0,689,4364,1,37.9,496,1,17.7,HIGH_RISK
44.3,644,3734,0,45.1,878,0,21.4,PROBABLE_FIRE
43.4,1259,3662,0,44.9,882,1,12.4,CONFIRMED_FIRE
42.4,646,3962,1,42.3,766,1,27.8,HIGH_RISK
41.4,584,4144,1,42.4,460,1,18.0,HIGH_RISK
36.1,546,3961,1,39.1,519,1,34.0,HIGH_RISK
49.0,1086,3317,0,50.3,862,1,16.6,PROBABLE_FIRE
27.5,583,2271,1,30.5,491,1,51.5,SAFE
54.7,1187,3847,0,62.5,1160,0,17.1,CONFIRMED_FIRE
38.8,672,4009,1,41.0,779,1,45.7,HIGH_RISK
23.8,446,1861,1,21.2,402,1,56.8,SAFE
40.1,1075,3419,1,48.8,996,1,35.2,PROBABLE_FIRE
20.0,367,1276,1,18.2,312,1,87.8,SAFE
39.7,956,3972,0,48.1,1364,0,13.2,CONFIRMED_FIRE
22.8,482,905,1,21.5,349,1,87.8,SAFE
59.4,1409,3549,0,63.0,1097,0,5.8,CONFIRMED_FIRE
26.9,437,1973,1,25.4,543,1,78.9,SAFE
41.3,1162,3138,1,42.3,984,1,16.9,PROBABLE_FIRE
53.4,1345,3619,0,59.2,1348,0,23.0,CONFIRMED_FIRE
50.0,1197,3602,0,54.1,1373,0,5.4,CONFIRMED_FIRE
47.0,1179,3999,0,54.7,1387,0,20.3,CONFIRMED_FIRE
40.3,424,3905,1,46.0,626,1,31.9,HIGH_RISK
57.5,1139,4016,0,58.4,1253,0,13.1,CONFIRMED_FIRE
37.7,685,3596,1,39.6,557,1,23.3,HIGH_RISK
63.7,1242,3677,0,57.1,1359,1,18.3,CONFIRMED_FIRE
49.8,1317,3812,0,49.3,1419,0,24.9,CONFIRMED_FIRE
49.6,1106,4334,1,50.4,1073,1,16.5,PROBABLE_FIRE
40.2,539,4045,1,37.6,680,1,38.0,HIGH_RISK
30.6,588,1628,1,28.5,393,1,85.0,SAFE
44.0,429,3935,1,46.2,479,1,15.6,HIGH_RISK
22.3,352,1695,1,25.2,484,1,69.0,SAFE
66.0,1322,3536,0,65.2,1290,1,18.3,CONFIRMED_FIRE
44.1,703,3720,1,42.6,723,1,27.8,HIGH_RISK
30.7,616,1123,1,31.5,305,1,74.3,SAFE
21.4,416,2597,1,19.4,508,1,62.5,SAFE
33.5,791,3548,1,35.1,540,1,33.7,HIGH_RISK
57.5,1281,3622,0,57.3,1058,0,19.5,CONFIRMED_FIRE
56.8,1305,3690,0,61.3,1257,0,15.1,CONFIRMED_FIRE
35.7,674,4039,1,41.9,549,1,15.7,HIGH_RISK
41.5,666,3783,1,41.8,501,1,32.5,HIGH_RISK
40.8,583,3791,1,46.7,767,1,18.3,HIGH_RISK
39.8,482,4462,1,45.1,729,1,26.1,HIGH_RISK
52.2,764,3335,1,52.9,701,0,20.6,PROBABLE_FIRE
48.2,1286,4413,0,50.5,1338,0,21.5,CONFIRMED_FIRE
43.4,1119,3381,1,48.2,802,0,23.8,PROBABLE_FIRE
46.4,1411,3368,0,47.8,1227,0,21.7,CONFIRMED_FIRE
22.8,395,1120,1,24.8,527,1,88.5,SAFE
27.4,360,975,1,26.9,458,1,81.9,SAFE
57.0,1275,3645,0,57.9,1268,0,5.9,CONFIRMED_FIRE
53.8,1321,4008,0,63.5,1205,0,5.4,CONFIRMED_FIRE
27.3,539,1590,1,28.9,322,1,55.6,SAFE
33.7,611,3294,1,36.1,801,1,16.1,HIGH_RISK
33.7,389,1102,1,31.5,579,1,70.8,SAFE
43.5,449,4081,1,48.5,746,1,28.3,HIGH_RISK
31.8,595,909,1,30.9,615,1,59.5,SAFE
46.9,959,4018,0,54.6,1623,0,10.6,CONFIRMED_FIRE
44.1,1201,3281,1,48.3,1025,1,18.6,PROBABLE_FIRE
40.2,661,3916,1,40.9,648,1,36.2,HIGH_RISK
31.0,403,1864,1,28.8,496,1,76.1,SAFE
26.6,377,2905,1,25.6,526,1,50.4,SAFE
53.6,1488,3751,0,59.0,1178,0,19.8,CONFIRMED_FIRE
27.2,325,1479,1,26.4,460,1,70.1,SAFE
63.0,977,3849,0,70.0,1078,1,13.0,CONFIRMED_FIRE
24.3,519,1428,1,24.0,322,1,76.6,SAFE
56.3,1470,3843,0,61.0,976,1,15.3,CONFIRMED_FIRE
55.2,1457,3843,0,64.2,1311,0,15.0,CONFIRMED_FIRE
59.3,1361,3872,0,61.4,1406,1,17.2,CONFIRMED_FIRE
40.2,1181,3311,1,44.4,949,1,37.7,PROBABLE_FIRE
30.8,509,1406,1,27.3,326,1,78.8,SAFE
51.4,910,3711,1,56.3,1345,0,12.5,CONFIRMED_FIRE
34.4,491,2745,1,30.2,540,1,83.4,SAFE
45.5,1274,4091,0,48.8,1215,0,10.1,CONFIRMED_FIRE
39.3,736,3831,1,40.5,684,1,28.6,HIGH_RISK
20.4,489,1057,1,17.2,503,1,75.6,SAFE
39.8,756,3981,1,39.6,753,1,43.5,HIGH_RISK
45.3,1186,3891,0,53.2,1401,0,18.7,CONFIRMED_FIRE
39.4,1031,3537,0,38.6,995,0,33.3,PROBABLE_FIRE
58.3,1461,3137,0,67.1,1417,0,5.9,CONFIRMED_FIRE
38.6,546,3785,1,42.1,540,1,35.4,HIGH_RISK
44.4,1260,3516,1,51.6,1162,0,10.9,CONFIRMED_FIRE
26.6,385,1555,1,26.5,479,1,78.4,SAFE
52.2,1085,4202,0,58.0,1427,0,13.9,CONFIRMED_FIRE
47.5,1462,4235,0,47.6,1397,1,19.0,CONFIRMED_FIRE
59.6,1505,3470,0,67.2,1475,0,13.8,CONFIRMED_FIRE
38.1,548,3623,1,38.2,798,1,24.0,HIGH_RISK
39.8,1064,3699,0,40.7,795,0,35.7,PROBABLE_FIRE
44.3,1495,3416,1,51.4,1027,0,14.7,CONFIRMED_FIRE
53.3,1084,3482,1,60.5,1197,1,24.2,PROBABLE_FIRE
59.6,1355,3383,0,61.2,1073,0,17.7,CONFIRMED_FIRE
39.5,680,4286,1,38.8,497,1,24.9,HIGH_RISK
34.5,395,2762,1,33.9,499,1,81.2,SAFE
24.5,328,2560,1,28.1,373,1,74.2,SAFE
32.8,323,2395,1,31.3,689,1,54.4,SAFE
41.9,1077,3709,1,43.5,1226,1,10.9,PROBABLE_FIRE
53.2,1513,4016,0,66.5,1135,0,8.0,CONFIRMED_FIRE
38.1,554,3967,1,44.4,487,1,34.4,HIGH_RISK
43.4,726,3685,1,48.5,469,1,44.3,HIGH_RISK
49.0,408,3922,1,52.6,834,1,24.1,HIGH_RISK
49.0,1173,3089,1,54.5,1234,1,12.2,PROBABLE_FIRE
24.8,447,1119,1,22.9,688,1,50.0,SAFE
22.7,638,2382,1,21.9,561,1,67.9,SAFE
26.0,592,2202,1,23.6,643,1,58.1,SAFE
49.2,1232,3341,1,51.8,1251,1,30.4,PROBABLE_FIRE
21.6,582,2320,1,23.6,643,1,75.7,SAFE
40.9,786,3245,1,42.6,707,0,20.3,PROBABLE_FIRE
53.6,1080,3551,1,59.6,1420,0,7.6,CONFIRMED_FIRE
54.6,999,2833,1,59.3,1094,1,11.4,PROBABLE_FIRE
43.3,681,3808,1,46.1,587,1,22.9,HIGH_RISK
38.9,768,3455,1,40.0,498,1,27.2,HIGH_RISK
27.9,463,2851,1,25.3,388,1,57.5,SAFE
23.9,440,2809,1,24.3,303,1,85.8,SAFE
27.7,356,2299,1,28.1,514,1,61.6,SAFE
22.8,424,2368,1,20.7,588,1,63.3,SAFE
38.7,568,3393,1,40.6,763,1,17.1,HIGH_RISK
51.8,1201,3871,0,55.3,1112,1,10.7,CONFIRMED_FIRE
40.4,976,3753,1,41.9,1158,1,28.8,PROBABLE_FIRE
41.0,480,3670,1,45.3,549,1,36.8,HIGH_RISK
38.0,943,3824,1,40.9,888,1,12.2,PROBABLE_FIRE
34.3,612,2489,1,35.5,376,1,84.5,SAFE
32.3,558,1686,1,31.6,337,1,51.7,SAFE
49.7,1037,3473,1,54.6,1325,0,14.4,CONFIRMED_FIRE
41.3,465,4029,1,43.5,686,1,33.0,HIGH_RISK
51.5,1140,3685,1,58.3,1188,1,25.4,PROBABLE_FIRE
44.0,647,3629,1,42.8,497,1,31.7,HIGH_RISK
43.4,912,3812,1,47.3,1477,0,11.0,CONFIRMED_FIRE
53.6,1477,3442,0,56.9,1248,0,23.6,CONFIRMED_FIRE
47.2,994,4046,0,53.4,874,1,32.6,PROBABLE_FIRE
31.5,608,1678,1,30.2,565,1,51.4,SAFE
37.1,556,3878,1,35.7,611,1,42.7,HIGH_RISK
41.2,757,3159,1,44.2,828,0,27.5,PROBABLE_FIRE
21.6,544,2320,1,19.5,401,1,65.8,SAFE
52.5,1111,3539,1,56.2,1320,0,9.6,CONFIRMED_FIRE
48.5,1320,4272,0,59.2,1290,0,20.4,CONFIRMED_FIRE
51.2,965,3609,1,55.1,1098,1,23.0,PROBABLE_FIRE
35.2,485,3992,1,35.3,748,1,30.3,HIGH_RISK
47.3,902,3972,1,58.9,1550,0,9.9,CONFIRMED_FIRE
46.0,1027,3465,0,49.9,901,0,15.8,PROBABLE_FIRE
38.6,999,4146,0,43.1,1575,0,14.3,CONFIRMED_FIRE
43.2,652,4074,1,45.9,770,1,36.3,HIGH_RISK
42.7,471,3917,1,46.6,411,1,14.8,HIGH_RISK
22.7,442,1517,1,20.5,472,1,66.0,SAFE
41.3,769,3763,1,44.6,758,0,12.1,PROBABLE_FIRE
42.4,419,4181,1,44.8,688,1,35.4,HIGH_RISK
22.7,577,2558,1,20.6,630,1,72.5,SAFE
48.7,939,3906,1,52.4,1160,1,27.4,PROBABLE_FIRE
41.0,660,3984,1,45.9,400,1,15.6,HIGH_RISK
25.6,545,1362,1,28.0,361,1,79.3,SAFE
42.8,724,3488,1,45.4,594,1,18.7,HIGH_RISK
47.9,1001,4043,0,52.7,1180,0,15.7,CONFIRMED_FIRE
27.9,630,2648,1,26.7,489,1,65.5,SAFE
23.9,541,1543,1,22.3,561,1,55.1,SAFE
43.0,1472,3465,0,47.9,1082,0,11.9,CONFIRMED_FIRE
40.1,749,4007,1,37.2,680,1,34.1,HIGH_RISK
40.4,573,3742,1,42.1,733,1,28.3,HIGH_RISK
57.6,1442,3505,1,61.2,1190,0,16.9,CONFIRMED_FIRE
26.2,527,2222,1,26.1,554,1,57.9,SAFE
32.7,476,2197,1,33.1,545,1,48.4,SAFE
27.6,658,2275,1,27.2,574,1,85.4,SAFE
22.2,318,1552,1,25.8,413,1,76.8,SAFE
42.0,717,3801,1,44.7,661,1,35.3,HIGH_RISK
31.9,602,1868,1,35.7,349,1,90.6,SAFE
52.3,861,3601,1,53.7,1019,1,31.6,PROBABLE_FIRE
39.5,537,3923,1,42.3,546,1,33.8,HIGH_RISK
45.9,980,4025,1,47.1,825,0,21.8,PROBABLE_FIRE
31.8,482,1847,1,32.9,625,1,92.4,SAFE
36.9,781,3738,1,35.8,410,1,32.9,HIGH_RISK
36.3,816,4257,1,36.9,705,1,22.2,HIGH_RISK
49.1,1130,3541,1,55.7,1125,0,19.6,CONFIRMED_FIRE
25.0,503,1243,1,23.7,456,1,85.8,SAFE
46.4,1361,4075,1,57.0,1287,0,14.6,CONFIRMED_FIRE
31.9,286,1394,1,30.5,539,1,82.1,SAFE
33.6,619,1515,1,34.8,302,1,72.6,SAFE
56.8,1170,3515,1,58.1,1412,0,15.5,CONFIRMED_FIRE
41.4,743,3476,1,40.9,498,1,29.5,HIGH_RISK
29.1,313,1651,1,26.6,397,1,63.5,SAFE
37.2,488,3993,1,40.7,579,1,21.2,HIGH_RISK
25.5,443,2342,1,25.8,484,1,79.6,SAFE
50.6,1082,3850,0,55.1,1285,1,19.4,CONFIRMED_FIRE
25.0,608,942,1,25.5,547,1,73.1,SAFE
28.0,325,2838,1,26.6,536,1,69.9,SAFE
41.8,988,3082,1,41.8,1102,0,27.7,PROBABLE_FIRE
24.5,591,2655,1,24.5,584,1,53.9,SAFE
62.3,1162,4057,0,62.6,1157,0,19.7,CONFIRMED_FIRE
32.2,318,2248,1,32.4,378,1,46.3,SAFE
45.6,682,3293,1,46.2,650,0,25.2,PROBABLE_FIRE
28.1,338,1416,1,29.4,638,1,55.3,SAFE
29.8,319,905,1,27.0,383,1,88.0,SAFE
46.6,1021,3256,1,47.4,1135,1,26.3,PROBABLE_FIRE
46.8,525,3501,1,44.0,654,1,31.2,HIGH_RISK
43.9,1006,3422,1,46.3,1413,0,7.2,CONFIRMED_FIRE
34.2,709,4198,1,34.3,582,1,37.2,HIGH_RISK
26.6,616,2358,1,23.6,476,1,58.6,SAFE
32.6,632,1846,1,32.1,367,1,71.0,SAFE
47.1,1017,4183,1,55.8,1498,0,6.5,CONFIRMED_FIRE
31.2,368,2023,1,32.3,342,1,77.8,SAFE
26.7,544,1165,1,31.9,455,1,62.1,SAFE
45.0,1191,3003,1,50.8,945,1,21.6,PROBABLE_FIRE
46.7,1321,3130,1,48.2,1274,1,15.2,PROBABLE_FIRE
67.6,1214,3628,0,72.8,1082,1,5.4,CONFIRMED_FIRE
43.5,833,3873,0,45.5,772,1,17.2,PROBABLE_FIRE
45.2,1289,3376,1,50.7,962,1,19.9,PROBABLE_FIRE
44.9,1523,4041,1,48.0,1382,0,9.5,CONFIRMED_FIRE
33.7,375,2286,1,30.7,348,1,87.6,SAFE
37.4,821,3592,1,38.8,680,1,17.8,HIGH_RISK
31.1,581,1020,1,32.2,348,1,52.0,SAFE
19.4,438,1504,1,17.4,531,1,81.6,SAFE
19.6,611,2701,1,18.8,446,1,84.2,SAFE
49.5,1161,3756,1,50.7,1014,1,11.8,PROBABLE_FIRE
24.1,354,2329,1,27.3,379,1,83.3,SAFE
49.7,1488,3822,0,55.2,1324,0,23.0,CONFIRMED_FIRE
52.9,1162,3564,0,62.4,1062,0,18.1,CONFIRMED_FIRE
32.5,560,2589,1,32.9,537,1,69.1,SAFE
23.0,416,1915,1,22.6,563,1,54.9,SAFE
45.5,1059,3383,0,52.4,1197,0,19.0,CONFIRMED_FIRE
58.3,1473,4079,0,64.9,1143,0,14.1,CONFIRMED_FIRE
23.3,301,2435,1,25.3,504,1,66.4,SAFE
25.7,461,2193,1,26.3,303,1,78.2,SAFE
21.3,337,2644,1,20.0,513,1,87.2,SAFE
39.9,602,4216,1,45.1,401,1,33.9,HIGH_RISK
31.3,477,2578,1,29.9,346,1,75.5,SAFE
44.2,1114,3699,0,45.2,1460,0,9.4,CONFIRMED_FIRE
45.5,791,3886,1,53.0,872,0,38.9,PROBABLE_FIRE
59.1,1125,3565,1,60.3,1202,1,13.9,PROBABLE_FIRE
36.5,484,4184,1,37.1,428,1,38.0,HIGH_RISK
47.8,1053,4175,0,50.2,1171,0,31.2,PROBABLE_FIRE
30.0,401,1684,1,29.2,552,1,64.0,SAFE
44.7,648,3589,1,45.4,684,1,27.2,HIGH_RISK
36.7,768,3377,1,35.9,519,1,40.8,HIGH_RISK
27.1,395,2783,1,27.1,514,1,53.3,SAFE
53.3,1031,2819,1,53.3,1182,1,20.6,PROBABLE_FIRE
57.3,1316,3511,0,55.5,1142,1,11.3,CONFIRMED_FIRE
29.6,360,959,1,32.0,424,1,62.8,SAFE
59.9,1236,3670,1,70.8,1104,0,11.2,CONFIRMED_FIRE
22.7,453,2121,1,19.7,570,1,67.4,SAFE
23.2,626,2031,1,23.1,484,1,80.5,SAFE
21.2,617,2611,1,17.8,501,1,60.7,SAFE
27.6,489,1154,1,27.1,335,1,59.1,SAFE
53.9,1224,3579,0,54.3,1157,0,11.4,CONFIRMED_FIRE
59.5,1457,3827,0,57.1,1547,0,20.5,CONFIRMED_FIRE
29.3,465,1529,1,24.9,467,1,58.1,SAFE
27.7,393,2098,1,27.3,328,1,51.9,SAFE
47.9,1390,3487,1,54.8,1576,0,14.5,CONFIRMED_FIRE
33.0,430,2085,1,30.5,370,1,66.8,SAFE
48.2,1034,3836,1,55.1,1253,0,11.3,CONFIRMED_FIRE
42.2,1044,3282,1,46.1,1113,0,15.1,CONFIRMED_FIRE
22.2,313,1252,1,22.3,677,1,48.1,SAFE
39.7,782,4051,1,41.5,561,1,30.1,HIGH_RISK
36.8,681,3630,1,39.7,682,1,42.1,HIGH_RISK
46.8,1434,3093,0,54.0,1201,0,9.0,CONFIRMED_FIRE
52.7,707,3274,0,56.8,906,0,16.0,PROBABLE_FIRE
37.6,509,3998,1,42.9,637,1,29.5,HIGH_RISK
50.1,1022,3902,1,59.3,1275,0,5.1,CONFIRMED_FIRE
20.4,259,2056,1,20.2,422,1,81.2,SAFE
56.5,1263,3811,0,58.6,994,0,7.2,CONFIRMED_FIRE
31.2,528,1374,1,30.9,391,1,78.5,SAFE
47.4,1096,4266,0,56.6,1466,0,11.6,CONFIRMED_FIRE
55.1,1008,3870,1,61.2,1378,0,7.3,CONFIRMED_FIRE
37.9,659,3762,1,37.5,454,1,35.1,HIGH_RISK
35.2,609,3323,1,35.5,404,1,19.1,HIGH_RISK
21.1,292,1540,1,19.5,369,1,63.8,SAFE
61.1,1175,3594,0,63.1,1115,0,7.1,CONFIRMED_FIRE
29.4,627,1174,1,30.7,533,1,86.2,SAFE
20.8,636,2633,1,23.1,331,1,91.7,SAFE
55.2,1117,3609,1,57.9,1195,0,7.6,CONFIRMED_FIRE
21.0,323,2294,1,21.9,521,1,56.7,SAFE
41.5,888,3479,1,48.6,755,0,24.8,PROBABLE_FIRE
44.5,894,3579,1,40.9,1169,1,32.3,PROBABLE_FIRE
22.9,300,1581,1,24.0,490,1,49.9,SAFE
27.0,323,2772,1,24.3,580,1,79.1,SAFE
51.5,1186,4155,1,64.5,1209,0,19.6,CONFIRMED_FIRE
44.9,482,3298,1,47.0,425,1,39.9,HIGH_RISK
37.3,639,3935,1,36.4,457,1,39.9,HIGH_RISK
23.6,434,975,1,22.0,579,1,78.2,SAFE
27.2,645,2278,1,25.3,533,1,55.2,SAFE
39.7,592,4192,1,43.3,465,1,39.9,HIGH_RISK
48.0,908,4042,0,53.3,657,0,36.9,PROBABLE_FIRE
26.7,501,1590,1,25.6,554,1,85.0,SAFE
48.6,1076,3707,0,52.3,1266,0,17.6,CONFIRMED_FIRE
43.9,622,4234,1,37.2,511,1,23.6,HIGH_RISK
23.2,606,1798,1,24.2,565,1,72.8,SAFE
49.1,590,3705,1,51.6,832,1,25.3,HIGH_RISK
30.8,520,1426,1,28.1,348,1,52.9,SAFE
59.0,1265,3478,0,60.7,1034,0,9.0,CONFIRMED_FIRE
62.0,1377,3953,0,63.3,1119,1,7.5,CONFIRMED_FIRE
49.4,1010,3276,0,48.5,770,0,15.4,PROBABLE_FIRE
28.3,530,2000,1,28.7,636,1,79.7,SAFE
52.0,1231,3800,0,56.2,1234,0,8.8,CONFIRMED_FIRE
50.4,1324,3896,0,53.2,1380,0,24.5,CONFIRMED_FIRE
20.2,423,1298,1,21.1,480,1,73.3,SAFE
41.4,1257,3396,1,45.3,1222,1,22.9,PROBABLE_FIRE
29.9,429,1382,1,29.9,451,1,85.6,SAFE
29.6,469,2070,1,32.1,447,1,79.7,SAFE
55.8,1483,3100,0,62.2,1333,0,5.4,CONFIRMED_FIRE
20.6,430,2126,1,22.1,622,1,66.1,SAFE
19.3,523,1619,1,21.2,621,1,90.7,SAFE
27.1,408,1603,1,24.5,450,1,57.1,SAFE
28.8,485,1233,1,27.3,399,1,57.6,SAFE
31.0,437,1359,1,33.6,466,1,81.5,SAFE
28.1,375,2810,1,24.4,348,1,48.4,SAFE
51.4,1119,3842,1,58.2,891,0,13.5,PROBABLE_FIRE
44.6,1009,3833,0,53.7,1139,0,19.8,CONFIRMED_FIRE
56.5,1063,3684,1,59.3,1275,0,9.1,CONFIRMED_FIRE
31.3,329,2324,1,31.7,465,1,82.4,SAFE
41.7,639,3699,1,43.3,542,1,28.2,HIGH_RISK
40.8,547,4143,1,36.9,729,1,21.6,HIGH_RISK
50.7,1488,3665,0,58.5,924,0,16.4,CONFIRMED_FIRE
31.1,527,2699,1,33.2,576,1,54.7,SAFE
40.5,740,4204,1,47.9,629,0,26.8,PROBABLE_FIRE
64.4,1072,3132,0,68.3,1058,0,7.9,CONFIRMED_FIRE
45.5,598,4022,1,47.8,587,1,37.3,HIGH_RISK
41.8,631,3937,1,42.1,725,1,44.2,HIGH_RISK
37.2,727,3538,1,39.2,640,1,32.0,HIGH_RISK
26.2,439,910,1,22.8,470,1,71.5,SAFE
48.2,1236,3536,0,50.3,1209,0,5.8,CONFIRMED_FIRE
35.8,362,2551,1,36.2,316,1,95.2,SAFE
21.1,602,1209,1,22.0,383,1,61.3,SAFE
48.0,1059,3147,1,50.6,1172,1,25.2,PROBABLE_FIRE
42.0,751,4090,1,44.0,793,1,45.6,HIGH_RISK
57.9,1324,3651,0,60.6,1252,0,6.1,CONFIRMED_FIRE
53.9,1422,3946,0,58.5,1059,0,17.0,CONFIRMED_FIRE
51.8,1214,3970,0,53.0,1006,0,9.3,CONFIRMED_FIRE
36.9,752,3858,1,36.4,643,1,26.9,HIGH_RISK
39.2,850,3904,1,38.6,836,1,22.0,HIGH_RISK
48.7,1016,3643,1,49.1,1064,1,10.3,PROBABLE_FIRE
57.2,1011,3955,1,60.6,1261,0,5.3,CONFIRMED_FIRE
38.3,594,3641,1,39.7,461,1,37.2,HIGH_RISK
48.9,1229,2576,1,49.7,1024,1,17.0,PROBABLE_FIRE
40.7,730,3258,0,48.3,713,0,41.5,PROBABLE_FIRE
36.3,716,3293,1,34.4,596,1,35.9,HIGH_RISK
46.6,1145,3840,1,48.0,1020,1,23.1,PROBABLE_FIRE
27.1,588,1504,1,27.6,634,1,60.3,SAFE
56.7,1287,3964,0,69.1,1096,0,7.9,CONFIRMED_FIRE
49.6,1395,3844,0,54.9,1116,0,11.5,CONFIRMED_FIRE
39.3,632,3896,1,39.4,478,1,29.6,HIGH_RISK
30.6,646,1013,1,27.7,557,1,74.8,SAFE
38.2,582,4267,1,37.9,713,1,39.5,HIGH_RISK
59.3,1262,3455,0,63.4,1309,0,8.1,CONFIRMED_FIRE
53.0,1431,3726,1,58.1,1106,0,16.0,CONFIRMED_FIRE
44.1,564,3521,0,44.0,803,0,28.6,PROBABLE_FIRE
51.2,1252,3773,0,55.3,975,0,5.7,CONFIRMED_FIRE
32.9,598,1441,1,30.7,554,1,60.1,SAFE
38.9,913,4108,1,41.4,1117,1,12.7,PROBABLE_FIRE
30.5,302,1120,1,29.4,543,1,64.2,SAFE
44.5,1108,3893,0,48.0,1174,0,6.8,CONFIRMED_FIRE
34.6,850,3620,1,36.1,785,1,16.3,HIGH_RISK
51.7,1116,3931,0,47.6,944,1,19.0,CONFIRMED_FIRE
34.4,532,4127,1,34.4,780,1,23.1,HIGH_RISK
23.2,392,2441,1,22.5,461,1,72.6,SAFE
45.4,533,3727,1,49.2,751,1,20.0,HIGH_RISK
23.8,372,1385,1,24.1,459,1,85.4,SAFE
32.7,563,1347,1,32.3,648,1,85.9,SAFE
56.8,1075,4086,0,62.2,1556,0,6.3,CONFIRMED_FIRE
41.9,1350,2864,1,47.8,1028,1,13.9,PROBABLE_FIRE
48.7,1160,3350,0,51.1,1584,0,7.0,CONFIRMED_FIRE
43.5,1046,3415,1,44.4,626,0,31.9,PROBABLE_FIRE
48.1,1305,3888,1,54.3,1374,0,8.1,CONFIRMED_FIRE
59.2,1154,3492,0,64.8,1291,0,6.5,CONFIRMED_FIRE
39.8,834,3634,1,41.1,407,1,43.8,HIGH_RISK
66.6,1418,3640,0,74.6,1424,0,20.9,CONFIRMED_FIRE
57.8,1173,3526,0,67.2,1438,0,8.8,CONFIRMED_FIRE
42.9,956,3994,1,45.8,992,1,13.8,PROBABLE_FIRE
26.2,622,2239,1,28.8,503,1,64.1,SAFE
59.5,1690,3531,0,64.2,956,0,11.6,CONFIRMED_FIRE
44.8,951,3261,1,49.4,838,1,20.7,PROBABLE_FIRE
26.6,359,1468,1,27.0,324,1,63.1,SAFE
48.2,1259,3449,0,55.8,1112,0,19.5,CONFIRMED_FIRE
29.7,306,1468,1,30.3,530,1,63.4,SAFE
34.1,487,3693,1,34.9,491,1,36.7,HIGH_RISK
34.3,509,2499,1,35.9,305,1,77.3,SAFE
39.6,594,4032,1,39.4,504,1,41.3,HIGH_RISK
31.5,752,3930,1,30.8,719,1,30.5,HIGH_RISK
39.9,936,3073,0,44.7,976,0,27.3,PROBABLE_FIRE
39.9,617,3893,1,38.8,558,1,43.4,HIGH_RISK
61.9,1374,4196,0,63.8,1025,1,17.7,CONFIRMED_FIRE
33.6,641,1202,1,30.3,496,1,81.4,SAFE
48.7,1185,3850,0,51.5,1073,0,10.8,CONFIRMED_FIRE
46.4,1309,3508,0,50.2,1396,0,11.9,CONFIRMED_FIRE
39.5,376,3970,1,40.3,594,1,31.9,HIGH_RISK
